image_file,description
./images\alliance-football-club-F-SN9vieh_Y-unsplash.png," Female soccer player, wearing black socks and a pink jersey, kicking ball on field."
./images\clem-onojeghuo-n6gnCa77Urc-unsplash.png," A female athlete in mid-air, captured in motion against a studio backdrop."
./images\cole-keister-xMMh-VFGL9M-unsplash.png," Sunset on a sandy beach, with the setting sun reflecting off the water."
./images\dim-hou-qBhpPxW3ESs-unsplash.png, Syringe needle vaccine medical healthcare professional
./images\eben-kassaye-ciJLkyRngAY-unsplash.png," A young, smiling female doctor posing outdoors for a photo."
./images\gianluca-zuccarelli-KGXF_TrVUiE-unsplash.png," Man looking at ocean waves, rock formations in background. Dressed for cold weather with black hat and dark coat."
./images\jeffrey-f-lin-q4AqmDZ3k8o-unsplash.png," A group of women soccer players wearing matching uniforms, standing on the field for a team photo."
./images\jeshoots-com-l0j0DHVWcIE-unsplash.png," Doctor in white uniform, stethoscope around neck, standing in hospital room."
./images\joshua-earle-ICE__bo2Vws-unsplash.png," Sunset over a rocky coastline, with a silhouette of a person watching the horizon."
./images\kuan-fang-WaQ5xQq2E6g-unsplash.png, Men playing soccer in a field.
./images\luke-jones-DBqGozXm-2A-unsplash.png," Woman wearing protective gear, possibly healthcare worker."
./images\mike-burke-En-Ql0qIm7g-unsplash.png, Sunset at the beach. Silhouette of a person standing in front of the ocean. Calm waters and clear sky.
./images\muktasim-azlan-pPfOLOK0oeI-unsplash.png," Man playing badminton inside, with racket raised."
./images\sean-oulashin-KMn4VEeEPR8-unsplash.png, Sunset beach scene with reflection and wave.
./images\the-new-york-public-library-JIvURrBAh1U-unsplash.png, Vintage black and white photo of a nurse attending to a patient in a room with medical equipment.
